WP_006196398.1	WP_011242965.1	93.496	123	9.29e-83	234
WP_006276978.1	WP_011243906.1	45.714	70	9.55e-17	63.9
WP_010993849.1	WP_011055135.1	52.915	223	2.10e-80	237
WP_010993850.1	WP_011055136.1	52.542	236	2.09e-82	243
WP_010993856.1	WP_011243411.1	26.446	484	1.36e-42	155
WP_010993857.1	WP_011378022.1	41.600	125	3.95e-31	108
WP_010993893.1	WP_011244136.1	29.231	130	1.11e-11	58.9
WP_010993897.1	WP_070105208.1	33.681	383	2.23e-66	214
WP_010993898.1	WP_011242942.1	45.745	376	2.56e-119	358
WP_010993903.1	WP_011377436.1	34.100	261	9.44e-47	155
WP_010993907.1	WP_011377525.1	41.509	106	8.49e-27	93.2
WP_010993909.1	WP_011244571.1	33.125	160	6.24e-15	68.6
WP_010993911.1	WP_011055138.1	41.096	438	3.24e-86	268
WP_010993912.1	WP_011055139.1	52.778	216	3.36e-74	221
WP_010993914.1	WP_011055164.1	36.246	309	2.34e-53	176
WP_010993916.1	WP_011377971.1	32.716	162	1.98e-18	73.9
WP_010993917.1	WP_231621404.1	30.667	150	1.14e-15	69.7
WP_010993920.1	WP_011378089.1	51.391	611	0.0	592
WP_010993922.1	WP_011242712.1	47.126	174	1.28e-54	171
WP_010993922.1	WP_011242712.1	45.000	60	1.01e-12	61.6
WP_010993928.1	WP_011242403.1	28.500	200	1.71e-19	81.3
WP_010993928.1	WP_011242403.1	29.245	106	8.71e-07	45.1
WP_010993933.1	WP_011055138.1	38.938	452	1.54e-79	250
WP_010993934.1	WP_011055139.1	48.673	226	5.16e-69	208
WP_010993936.1	WP_011378168.1	57.500	320	7.10e-127	362
WP_010993937.1	WP_011242865.1	35.294	102	4.09e-15	65.9
WP_010993938.1	WP_011244417.1	25.279	269	1.11e-13	66.6
WP_010993942.1	WP_011378042.1	39.703	539	2.45e-89	281
WP_010993943.1	WP_011378168.1	60.265	302	5.71e-131	373
WP_010993946.1	WP_011244535.1	28.503	1042	1.95e-85	295
WP_010993947.1	WP_011244046.1	30.556	180	5.31e-15	73.2
WP_010993949.1	WP_011242576.1	49.153	118	2.86e-26	92.0
WP_010993957.1	WP_011242871.1	23.274	391	3.65e-17	79.7
WP_010993959.1	WP_011244535.1	28.408	1049	4.22e-90	308
WP_010993960.1	WP_011244534.1	25.490	204	5.57e-12	63.9
WP_010993961.1	WP_011242712.1	40.244	164	1.85e-33	117
WP_010993962.1	WP_011055157.1	38.532	109	9.27e-23	82.8
WP_010993963.1	WP_011378089.1	68.005	747	0.0	1010
WP_010993964.1	WP_011242339.1	51.266	158	4.06e-55	173
WP_010993964.1	WP_011242339.1	52.747	91	5.29e-32	113
WP_010993965.1	WP_011378165.1	37.500	128	3.12e-30	102
WP_010993966.1	WP_011377659.1	45.763	59	5.20e-11	48.9
WP_010993976.1	WP_011242762.1	29.907	107	5.50e-09	50.4
WP_010993980.1	WP_011244544.1	21.053	228	5.35e-10	54.7
WP_010993984.1	WP_011242799.1	42.857	301	9.45e-82	246
WP_010994000.1	WP_011243481.1	43.939	132	5.13e-32	115
WP_010994059.1	WP_011055144.1	46.749	323	1.66e-94	280
WP_010994064.1	WP_011244571.1	26.087	253	2.28e-19	80.9
WP_010994068.1	WP_011378215.1	52.771	415	9.91e-135	389
WP_010994073.1	WP_011242912.1	33.740	246	1.68e-34	136
WP_010994081.1	WP_011243413.1	38.889	126	2.06e-15	74.7
WP_010994084.1	WP_011377919.1	50.000	130	2.68e-39	125
WP_010994092.1	WP_011055119.1	29.630	135	7.56e-09	56.6
WP_010994126.1	WP_011378215.1	29.508	122	6.51e-10	53.5
WP_010994127.1	WP_011378215.1	27.917	240	6.40e-09	52.0
WP_010994132.1	WP_011243118.1	33.094	417	1.30e-71	236
WP_010994134.1	WP_011378304.1	29.151	271	1.97e-25	101
WP_010994140.1	WP_011242799.1	41.860	301	1.77e-80	243
WP_010994143.1	WP_011378264.1	32.727	275	4.01e-32	118
WP_010994144.1	WP_011244796.1	32.209	326	7.66e-46	160
WP_010994147.1	WP_011243576.1	40.807	223	5.83e-46	151
WP_010994160.1	WP_011244544.1	25.521	192	2.00e-11	58.2
WP_010994161.1	WP_011243628.1	43.678	87	8.32e-10	53.9
WP_010994161.1	WP_011243628.1	32.812	128	2.43e-07	47.0
WP_010994166.1	WP_011055144.1	46.358	302	4.61e-87	261
WP_010994167.1	WP_011244522.1	28.448	116	7.57e-11	59.7
WP_010994173.1	WP_011244571.1	31.818	198	1.04e-20	84.7
WP_010994181.1	WP_011377540.1	79.048	315	0.0	511
WP_010994182.1	WP_011377539.1	79.681	502	0.0	816
WP_010994183.1	WP_011243490.1	48.352	182	2.85e-47	149
WP_010994184.1	WP_011377538.1	45.283	159	3.15e-37	123
WP_010994185.1	WP_011243492.1	58.333	156	6.52e-46	144
WP_010994186.1	WP_011243493.1	96.296	81	5.67e-49	145
WP_010994187.1	WP_196794062.1	81.667	240	6.06e-131	367
WP_010994189.1	WP_011243496.1	62.025	395	1.22e-178	500
