WP_006195022.1	WP_010995059.1	97.778	45	6.93e-26	86.3
WP_011055119.1	WP_044521991.1	25.876	885	3.75e-40	158
WP_011055128.1	WP_010999539.1	60.000	65	6.50e-19	76.3
WP_011055129.1	WP_010996353.1	36.782	87	3.53e-08	44.7
WP_011055135.1	WP_010993849.1	52.915	223	1.52e-85	251
WP_011055136.1	WP_010993850.1	52.542	236	4.94e-82	243
WP_011055137.1	WP_010993961.1	40.110	182	1.42e-30	110
WP_011055138.1	WP_010995344.1	40.674	445	2.15e-96	294
WP_011055139.1	WP_010995343.1	52.609	230	9.76e-83	244
WP_011055144.1	WP_010994059.1	46.749	323	3.98e-94	280
WP_011055145.1	WP_010994932.1	31.481	108	2.97e-08	45.8
WP_011055149.1	WP_010997373.1	28.902	173	3.00e-07	46.2
WP_011055151.1	WP_010994084.1	32.031	128	1.50e-08	47.4
WP_011055152.1	WP_126987386.1	36.986	73	8.68e-12	56.2
WP_011055153.1	WP_010996651.1	49.123	399	9.23e-142	416
WP_011055155.1	WP_010998177.1	45.181	166	1.12e-43	148
WP_011055156.1	WP_010996677.1	58.805	318	9.50e-112	325
WP_011055157.1	WP_010993962.1	38.532	109	4.94e-26	92.0
WP_011055158.1	WP_010996877.1	33.333	93	9.63e-16	68.9
WP_011055159.1	WP_010998683.1	38.356	146	4.50e-26	93.6
WP_011055160.1	WP_010997061.1	46.154	65	2.09e-06	44.3
WP_011055162.1	WP_044521747.1	45.752	153	2.21e-42	136
WP_011055163.1	WP_010995283.1	31.198	359	3.92e-48	166
WP_011055163.1	WP_010995283.1	24.516	155	1.37e-10	59.7
WP_011055164.1	WP_010996677.1	51.572	318	1.21e-100	296
WP_011055165.1	WP_044521200.1	26.821	563	2.97e-40	150
WP_011055168.1	WP_010997485.1	42.000	250	1.69e-56	179
WP_011055169.1	WP_010994784.1	23.028	317	2.05e-22	95.9
WP_011055170.1	WP_010997029.1	32.836	201	7.89e-30	110
WP_011055172.1	WP_010994929.1	36.782	87	1.34e-10	50.4
WP_011242314.1	WP_010996561.1	70.238	168	1.09e-87	251
WP_011242315.1	WP_010998141.1	75.146	342	8.48e-178	494
WP_011242317.1	WP_044522246.1	31.250	144	1.86e-10	53.1
WP_011242318.1	WP_010998583.1	24.702	336	3.90e-10	59.3
WP_011242320.1	WP_010999034.1	32.727	110	6.60e-09	50.8
WP_011242324.1	WP_010997091.1	34.884	129	2.52e-11	59.7
WP_011242330.1	WP_044520859.1	25.263	190	2.06e-16	72.8
WP_011242339.1	WP_010993964.1	51.266	158	5.55e-55	173
WP_011242339.1	WP_010993964.1	52.747	91	7.24e-32	113
WP_011242343.1	WP_010997977.1	45.174	259	2.10e-75	228
WP_011242346.1	WP_010999017.1	35.890	365	2.88e-39	148
WP_011242360.1	WP_010999014.1	50.704	284	6.91e-96	281
WP_011242361.1	WP_010995252.1	53.430	277	1.70e-107	312
WP_011242364.1	WP_010999408.1	72.997	337	0.0	535
WP_011242365.1	WP_010999409.1	71.429	322	1.24e-161	451
WP_011242366.1	WP_044522584.1	48.750	240	1.99e-74	224
WP_011242367.1	WP_010999411.1	74.043	235	5.09e-124	348
WP_011242368.1	WP_010996108.1	47.619	273	1.36e-80	241
WP_011242369.1	WP_010995774.1	42.132	197	2.08e-37	136
WP_011242370.1	WP_044522187.1	46.528	288	1.67e-74	227
