protein_id_7942,protein_id_anabaena,locus_tag_7942,locus_tag_anabaena,ortholog_method,rbh_confirmed,mesor_vijayan,amplitude_vijayan,peak_time_h_vijayan,r2_vijayan,p_value_vijayan,n_points_vijayan,amp_pct_vijayan,mesor_markson,amplitude_markson,peak_time_h_markson,r2_markson,p_value_markson,n_points_markson,amp_pct_markson,repro_dphi_h,mesor_anabaena,amplitude_anabaena,peak_time_h_anabaena,r2_anabaena,p_value_anabaena,n_points_anabaena,amp_pct_anabaena,mesor_anabaena_1st,amplitude_anabaena_1st,peak_time_h_anabaena_1st,r2_anabaena_1st,p_value_anabaena_1st,n_points_anabaena_1st,amp_pct_anabaena_1st,mesor_anabaena_2nd,amplitude_anabaena_2nd,peak_time_h_anabaena_2nd,r2_anabaena_2nd,p_value_anabaena_2nd,n_points_anabaena_2nd,amp_pct_anabaena_2nd,gene_symbol_7942,published_amplitude_cv_7942,published_tier_7942,gene_symbol_anabaena,published_tier_anabaena
WP_011377778.1,WP_010998481.1,Synpcc7942_0890,alr4344,RBH,True,-0.043343023025641,0.0699438865574357,6.081712135610012,0.2107769002976999,0.2146834780532317,16,0.1975957926371149,-0.0241091307499999,0.130249842564289,0.4057825046816695,0.5058988844121421,0.2441359124251656,7,0.5112697220135237,5.675929630928344,10.888012724177884,0.25105021148847106,18.916030631728354,0.12291220810008185,0.2523203012804534,24.0,0.646551724137931,11.094861226647918,0.49608390781680645,18.650449376202843,0.47751376283027314,0.053868743821825535,12.0,0.9196026986506747,10.681164221707846,0.03521158550270031,0.1277562125751588,0.0036571008846955078,0.9836480487739924,12.0,0.016304347826086956,"glsF, gltS",0.06592469464574034,AR,"glsF, gltS",AR
WP_011244265.1,WP_010998502.1,Synpcc7942_2137,all4365,RBH,True,-0.1775307561794873,0.3840343383395125,3.1562913210545145,0.8427962421254316,5.984239992375432e-06,16,0.8846731780616078,-0.1975850363500003,0.3919453533622962,21.0718024037051,0.9731712418851632,0.0007197822619844,7,0.9113448534936138,6.0844889173494145,11.24831348146672,0.2723967764271692,11.182703363632044,0.23592943792572374,0.05927907386853236,24.0,0.6962143928035982,10.958417388058836,0.283580019817131,11.578018776883802,0.4114616012495197,0.09204212037577772,12.0,0.652736131934033,11.538209574874605,0.26435919348985837,10.758531003366464,0.717521595819667,0.0033840255225668853,12.0,0.5133058470764618,chlH,0.12493738006803425,a,chlH,AR
WP_011378064.1,WP_044521002.1,Synpcc7942_1522,alr1594,RBH,True,-0.0863300964871795,0.2109954900518247,12.41843476231866,0.7153116948853343,0.0002840550892059,16,0.6975957926371149,-0.0832167719499999,0.2195072364394084,5.171497444705884,0.6720738623443183,0.107535551757773,7,0.745679939894816,7.246937317612776,11.561800108836183,0.34856970468604764,16.7387159550817,0.18125288420998065,0.12248212784916016,24.0,0.8309595202398801,11.777655720462574,0.40784682707698844,17.584801767702437,0.44977146796367273,0.06798983405405314,12.0,0.8526986506746627,11.34594449720979,0.3123836246736991,15.627471592770258,0.12439375678133013,0.5500343632148312,12.0,0.6158170914542729,rpoB,0.13830205121436642,a,rpoB,AR
WP_011378007.1,WP_010994484.1,Synpcc7942_1372,alr0308,RBH,True,-0.1088377747564103,0.0937205265355457,16.355670810752716,0.5122573779705913,0.0094024191176336,16,0.3001502629601803,-0.1111489195500001,0.0686132241744174,6.989525387055932,0.4201697069202215,0.3362031687729818,7,0.2160030052592036,9.366145423696786,8.686950196594294,0.07337934069647163,22.946762297447464,0.01842418571259019,0.8226221785004035,24.0,0.10157421289355323,8.461012161044966,0.17479004847139024,2.8074912712117954,0.15011918185926343,0.480962396463323,12.0,0.3386431784107946,8.912888232143615,0.15759168535219267,18.28020465874962,0.14047096833742723,0.5060255848389144,12.0,0.2528110944527736,metH,0.0950183949482459,AR,-,AR
WP_011243131.1,WP_010997950.1,Synpcc7942_0711,alr3809,RBH,True,0.0541770348205128,0.2186790782138993,21.60410355698328,0.6497029582660256,0.0010935459918039,16,0.7096168294515401,-0.0753545194500001,0.1769250968005604,19.66497506225458,0.8548679286859792,0.021063318123898,7,0.6600300525920361,1.939128494728699,8.820941633358236,0.179463222126942,19.927003829886473,0.19936238782808324,0.09684515054000611,24.0,0.43928035982008995,8.740065901674091,0.2553251065255557,19.917718193561566,0.41328748766104295,0.09076409374906866,12.0,0.5824587706146926,8.901817365042378,0.1036039514450811,19.949887782652326,0.07711071781643819,0.696904406976051,12.0,0.1278110944527736,pyrA,0.1131571482541347,a,-,AR
WP_011377986.1,WP_010999339.1,Synpcc7942_1326,all5215,RBH,True,0.1072530175897436,0.1098107635774265,19.296671821503836,0.4921294068374604,0.0122291123553062,16,0.3760330578512397,-0.0151301303999999,0.0442538398050351,6.219030689829981,0.0872665641015716,0.8330823250069505,7,0.1059353869271224,-10.922358868326146,8.423164105153267,0.15425747114198327,19.65774230001164,0.053159091066311226,0.5791220975808955,23.0,0.352136431784108,8.207850370989384,0.14536862588972593,19.983934995774927,0.11971657487320031,0.563379915955905,12.0,0.25974512743628186,8.663320621317313,0.21331060723137382,19.515297006215548,0.08131082552824787,0.7123187813082574,11.0,0.39280359820089955,,0.11904483852546303,AR,-,AR
WP_011378437.1,WP_044521124.1,Synpcc7942_2384,alr1911,RBH,True,0.004723787448718,0.906972566009966,12.52021622243094,0.9011562037741664,2.932048896389497e-07,16,0.983846731780616,-0.0811053140999999,0.547444346146014,9.27129462510916,0.9582374307168516,0.0017441121931297,7,0.9567993989481592,3.248921597321779,7.4091517458248335,0.19316252243901808,17.04845160385436,0.04909100047158388,0.589466400210124,24.0,0.48594452773613195,7.176389376209514,0.11344740076093174,21.40321592608538,0.024502648896195023,0.8943704155448446,12.0,0.16547976011994003,7.641914115440148,0.3542865942983863,15.92072846968484,0.1613083992297336,0.45311696392955725,12.0,0.684407796101949,nifJ,0.6301023980710933,b,nifJ2,AR
WP_011377438.1,WP_010995858.1,Synpcc7942_0097,alr1689,RBH,True,-0.0362283702564102,0.0163520939103562,10.337214649243869,0.0428726023516294,0.7521480990121838,16,0.0116453794139744,-0.3698841622000006,0.0480712014882594,15.63178334817079,0.2632492263997168,0.5428017024006158,7,0.1239669421487603,-5.294568698926922,7.941899785859084,0.045840740614795865,17.021224179858667,0.003751836419926935,0.9613003611471177,24.0,0.04441529235382309,7.911604306243983,0.07659542745585099,13.404147099339612,0.014892017245960787,0.9347108256049639,12.0,0.07946026986506746,7.972195265474182,0.0778969146249545,20.551008977440524,0.008397905809075623,0.9627609323504607,12.0,0.07533733133433283,cobN,0.10849598992644491,AR,CobN,AR
WP_011243004.1,WP_010997859.1,Synpcc7942_0848,alr3716,RBH,True,-0.0568843946025641,0.2275894026245179,0.791180932727156,0.7015521925427364,0.00038605088515,16,0.7265214124718257,0.0027185225999999,0.1194042323513744,20.787714783932895,0.4943378419656602,0.2556942180679456,7,0.4691960931630353,4.00346614879426,8.289621747945235,0.06951018891052735,17.685714707181727,0.008153118714088414,0.9176321836005729,24.0,0.09220389805097451,7.933765292658647,0.27694560850410793,20.19595302356872,0.1568037886772201,0.4641719679291717,12.0,0.6379310344827587,8.64547820323182,0.18724709502087,9.994056733741287,0.1849652934123489,0.3983753536752053,12.0,0.32814842578710646,uvrA,0.17553527521922294,a,uvrA,AR
WP_011243535.1,WP_010998979.1,Synpcc7942_0289,alr4851,RBH,True,-0.1155596721282052,0.0478908709371666,22.208287112792043,0.1656561940000921,0.3081362551323167,16,0.1003005259203606,-0.0433280188500001,0.1034963181170483,16.856735998782156,0.3230766264129782,0.4582252537084347,7,0.3963185574755822,5.351551114009887,10.232339044020277,0.07173187005122993,4.67828533898664,0.012511422341967227,0.876166912664738,24.0,0.0967016491754123,10.48404526298036,0.09396166892631816,4.687857303936633,0.027937694365765986,0.8802853237021334,12.0,0.11431784107946028,9.980632825060189,0.04950292619359372,4.660116710970761,0.009682836111316928,0.9571596402892387,12.0,0.030359820089955022,secA,0.11669603307716704,AR,secA,AR
