protein_id_7942,protein_id_anabaena,locus_tag_7942,locus_tag_anabaena,ortholog_method,rbh_confirmed,mesor_vijayan,amplitude_vijayan,peak_time_h_vijayan,r2_vijayan,p_value_vijayan,n_points_vijayan,amp_pct_vijayan,mesor_markson,amplitude_markson,peak_time_h_markson,r2_markson,p_value_markson,n_points_markson,amp_pct_markson,repro_dphi_h
WP_011377778.1,WP_010998481.1,Synpcc7942_0890,alr4344,RBH,True,-0.04334302302564105,0.06994388655743573,6.081712135610012,0.2107769002976999,0.21468347805323174,16,0.19759579263711496,-0.024109130749999985,0.13024984256428904,0.40578250468166954,0.5058988844121421,0.2441359124251656,7,0.5112697220135237,5.675929630928344
WP_011244265.1,WP_010998502.1,Synpcc7942_2137,all4365,RBH,True,-0.17753075617948738,0.38403433833951256,3.1562913210545145,0.8427962421254316,5.984239992375432e-06,16,0.8846731780616078,-0.19758503635000035,0.3919453533622962,21.0718024037051,0.9731712418851631,0.0007197822619844252,7,0.9113448534936138,6.0844889173494145
WP_011378064.1,WP_044521002.1,Synpcc7942_1522,alr1594,RBH,True,-0.0863300964871795,0.21099549005182472,12.418434762318661,0.7153116948853343,0.0002840550892059766,16,0.6975957926371149,-0.08321677194999991,0.21950723643940845,5.171497444705884,0.6720738623443183,0.10753555175777309,7,0.745679939894816,7.246937317612776
WP_011378007.1,WP_010994484.1,Synpcc7942_1372,alr0308,RBH,True,-0.10883777475641031,0.09372052653554572,16.355670810752716,0.5122573779705913,0.009402419117633641,16,0.3001502629601803,-0.11114891955000013,0.06861322417441748,6.989525387055932,0.4201697069202215,0.33620316877298184,7,0.2160030052592036,9.366145423696786
WP_011243131.1,WP_010997950.1,Synpcc7942_0711,alr3809,RBH,True,0.05417703482051286,0.21867907821389931,21.60410355698328,0.6497029582660256,0.0010935459918039352,16,0.7096168294515401,-0.07535451945000016,0.17692509680056043,19.66497506225458,0.8548679286859792,0.021063318123898032,7,0.6600300525920361,1.939128494728699
WP_011377986.1,WP_010999339.1,Synpcc7942_1326,all5215,RBH,True,0.10725301758974368,0.10981076357742653,19.296671821503836,0.4921294068374604,0.012229112355306295,16,0.3760330578512397,-0.01513013039999998,0.0442538398050351,6.219030689829981,0.08726656410157163,0.8330823250069505,7,0.10593538692712247,-10.922358868326146
WP_011378437.1,WP_044521124.1,Synpcc7942_2384,alr1911,RBH,True,0.0047237874487180325,0.9069725660099661,12.520216222430939,0.9011562037741663,2.932048896389497e-07,16,0.9838467317806161,-0.08110531409999998,0.547444346146014,9.27129462510916,0.9582374307168517,0.001744112193129758,7,0.9567993989481592,3.248921597321779
WP_011377438.1,WP_010995858.1,Synpcc7942_0097,alr1689,RBH,True,-0.03622837025641028,0.01635209391035629,10.337214649243869,0.042872602351629485,0.7521480990121838,16,0.011645379413974455,-0.3698841622000006,0.04807120148825942,15.63178334817079,0.2632492263997168,0.5428017024006158,7,0.12396694214876033,-5.294568698926922
WP_011243004.1,WP_010997859.1,Synpcc7942_0848,alr3716,RBH,True,-0.05688439460256416,0.22758940262451796,0.791180932727156,0.7015521925427364,0.00038605088515001614,16,0.7265214124718257,0.0027185225999999687,0.11940423235137441,20.787714783932895,0.4943378419656602,0.2556942180679456,7,0.4691960931630353,4.00346614879426
WP_011243535.1,WP_010998979.1,Synpcc7942_0289,alr4851,RBH,True,-0.1155596721282052,0.04789087093716668,22.208287112792043,0.16565619400009213,0.30813625513231674,16,0.10030052592036064,-0.043328018850000184,0.10349631811704837,16.856735998782156,0.3230766264129782,0.4582252537084347,7,0.39631855747558226,5.351551114009887
